group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Lotus_corniculatus_Ainsdale Dune Slacks,-2.878,0.236,-3.341,-2.415,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Algaida,-2.741,0.53,-3.78,-1.702,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Bayreuth DRAGNet,-2.821,0.321,-3.45,-2.192,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Kniezenberg,-2.673,0.468,-3.59,-1.756,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Meranges,-2.295,0.278,-2.839,-1.751,Hurdle_cond,1,DIST
taxon_site,Intercept,Lotus_corniculatus_Wytham Woods,-1.98,0.22,-2.411,-1.549,Hurdle_cond,1,DIST
taxon_site,Intercept,Opuntia_macrorhiza_Ladybird Johnson Wildflower Center,-2.888,0.307,-3.489,-2.287,Hurdle_cond,1,DIST
taxon_site,Intercept,Picris_hieracioides_Bad Lauchstaedt,-0.841,0.216,-1.265,-0.417,Hurdle_cond,1,DIST
taxon_site,Intercept,Picris_hieracioides_CEREEP - Ecotron IDF,-2.45,0.365,-3.165,-1.735,Hurdle_cond,1,DIST
taxon_site,Intercept,Picris_hieracioides_Jena,-2.823,0.416,-3.638,-2.008,Hurdle_cond,1,DIST
taxon_site,Intercept,Picris_hieracioides_Saihanba,-2.837,0.519,-3.855,-1.819,Hurdle_cond,1,DIST
taxon_site,Intercept,Pimpinella_saxifraga_Meranges,-2.552,0.292,-3.125,-1.979,Hurdle_cond,1,DIST
taxon_site,Intercept,Pinus_palustris_Bladen Lakes State Forest,-2.479,0.428,-3.317,-1.641,Hurdle_cond,1,DIST
taxon_site,Intercept,Plantago_coronopus_Algaida,-2.426,0.262,-2.939,-1.913,Hurdle_cond,1,DIST
taxon_site,Intercept,Plantago_coronopus_Caracoles,-2.731,0.359,-3.435,-2.027,Hurdle_cond,1,DIST
taxon_site,Intercept,Plantago_media_Meranges,-2.458,0.281,-3.008,-1.908,Hurdle_cond,1,DIST
taxon_site,Intercept,Plantago_media_Stoderzinken,-2.634,0.542,-3.696,-1.572,Hurdle_cond,1,DIST
taxon_site,Intercept,Poa_alpina_Stoderzinken,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Potentilla_recta_Churning Rapids,-2.613,0.244,-3.09,-2.136,Hurdle_cond,1,DIST
taxon_site,Intercept,Potentilla_recta_Kellogg Biological Station (KBS),-2.786,0.419,-3.607,-1.965,Hurdle_cond,1,DIST
taxon_site,Intercept,Primula_elatior_Stoderzinken,-2.766,0.418,-3.585,-1.947,Hurdle_cond,1,DIST
taxon_site,Intercept,Primula_veris_Wytham Woods,-2.766,0.384,-3.519,-2.013,Hurdle_cond,1,DIST
taxon_site,Intercept,Prosopis_glandulosa_Ladybird Johnson Wildflower Center,-2.753,0.463,-3.66,-1.846,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Agroscope Changins,-2.391,0.24,-2.861,-1.921,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Bayreuth DRAGNet,-2.618,0.322,-3.249,-1.987,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Churning Rapids,-2.558,0.551,-3.638,-1.478,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Kniezenberg,-2.634,0.542,-3.696,-1.572,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Meranges,-2.857,0.322,-3.488,-2.226,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Stoderzinken,-2.777,0.384,-3.53,-2.024,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_WSL,-2.392,0.338,-3.054,-1.73,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_acris_Wytham Woods,-2.753,0.463,-3.66,-1.846,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_bulbosus_CEREEP - Ecotron IDF,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_bulbosus_Morella la Vella,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_bulbosus_Stoderzinken,-2.558,0.551,-3.638,-1.478,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_bulbosus_Wytham Woods,-2.753,0.463,-3.66,-1.846,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Ainsdale Dune Slacks,-2.805,0.342,-3.476,-2.134,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Bayreuth DRAGNet,-2.558,0.551,-3.638,-1.478,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Hazelrigg,-2.122,0.399,-2.904,-1.34,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Kniezenberg,-2.726,0.469,-3.645,-1.807,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Lublin,-2.839,0.383,-3.591,-2.087,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Stoderzinken,-2.558,0.551,-3.638,-1.478,Hurdle_cond,1,DIST
taxon_site,Intercept,Ranunculus_repens_Wytham Woods,-2.958,0.358,-3.66,-2.256,Hurdle_cond,1,DIST
taxon_site,Intercept,Ratibida_columnifera_Ladybird Johnson Wildflower Center,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Rhinanthus_minor_Stoderzinken,-2.741,0.53,-3.78,-1.702,Hurdle_cond,1,DIST
taxon_site,Intercept,Rhinanthus_minor_Wytham Woods,-2.758,0.53,-3.797,-1.719,Hurdle_cond,1,DIST
taxon_site,Intercept,Rhus_copallinum_Piedmont Prairie,-2.863,0.518,-3.879,-1.847,Hurdle_cond,1,DIST
taxon_site,Intercept,Rosa_canina_Bad Lauchstaedt,-2.841,0.519,-3.859,-1.823,Hurdle_cond,1,DIST
taxon_site,Intercept,Rosa_canina_Wytham Woods,-2.963,0.381,-3.709,-2.217,Hurdle_cond,1,DIST
taxon_site,Intercept,Rosa_multiflora_Cary IES,-2.555,0.425,-3.387,-1.723,Hurdle_cond,1,DIST
taxon_site,Intercept,Rosa_multiflora_Izaak Walton League of America (IWLA),-2.652,0.471,-3.575,-1.729,Hurdle_cond,1,DIST
taxon_site,Intercept,Salsola_kali_Fowlers Gap,-2.774,0.362,-3.483,-2.065,Hurdle_cond,1,DIST
taxon_site,Intercept,Salsola_kali_Sandflats,-2.91,0.454,-3.8,-2.02,Hurdle_cond,1,DIST
taxon_site,Intercept,Solidago_altissima_Izaak Walton League of America (IWLA),-2.37,0.339,-3.034,-1.706,Hurdle_cond,1,DIST
taxon_site,Intercept,Solidago_altissima_Kellogg Biological Station (KBS),-0.569,0.209,-0.978,-0.16,Hurdle_cond,1,DIST
taxon_site,Intercept,Solidago_altissima_Konza LTER DRAGNet,-2.553,0.475,-3.484,-1.622,Hurdle_cond,1,DIST
taxon_site,Intercept,Solidago_altissima_LSU Botanical Garden,-2.655,0.474,-3.584,-1.726,Hurdle_cond,1,DIST
taxon_site,Intercept,Spartina_alterniflora_GCE LTER - Sapelo Island,1.814,0.202,1.417,2.211,Hurdle_cond,1,DIST
taxon_site,Intercept,Sphaeralcea_coccinea_Shortgrass Steppe LTER,-2.694,0.307,-3.295,-2.093,Hurdle_cond,1,DIST
taxon_site,Intercept,Stenaria_nigricans_Temple,-2.013,0.33,-2.659,-1.367,Hurdle_cond,1,DIST
taxon_site,Intercept,Taraxacum_campylodes_Bayreuth DRAGNet,-2.464,0.34,-3.13,-1.798,Hurdle_cond,1,DIST
taxon_site,Intercept,Taraxacum_campylodes_Kellogg Biological Station (KBS),-2.562,0.555,-3.649,-1.475,Hurdle_cond,1,DIST
taxon_site,Intercept,Themeda_triandra_Nillahcootie,-2.162,0.432,-3.01,-1.314,Hurdle_cond,1,DIST
taxon_site,Intercept,Themeda_triandra_Ukulinga,-0.194,0.228,-0.642,0.254,Hurdle_cond,1,DIST
taxon_site,Intercept,Thymus_vulgaris_Morella la Vella,-2.775,0.359,-3.479,-2.071,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_dubius_Churning Rapids,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_dubius_Millville,-2.822,0.416,-3.637,-2.007,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_dubius_Shortgrass Steppe LTER,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_dubius_Wallula Gap Biological Station-North Face,-2.667,0.541,-3.727,-1.607,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_dubius_Wallula Gap Biological Station-South Face,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_orientalis_Bad Lauchstaedt,-3.027,0.408,-3.827,-2.227,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_pratensis_Agroscope Changins,-2.978,0.41,-3.781,-2.175,Hurdle_cond,1,DIST
taxon_site,Intercept,Tragopogon_pratensis_Wytham Woods,-2.807,0.294,-3.383,-2.231,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Agroscope Changins,-1.958,0.225,-2.398,-1.518,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Algaida,-2.745,0.529,-3.782,-1.708,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Bayreuth DRAGNet,-2.611,0.263,-3.127,-2.095,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Kniezenberg,-2.675,0.468,-3.592,-1.758,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Meranges,-2.854,0.338,-3.516,-2.192,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Oak Lake Field Station,-1.781,0.428,-2.619,-0.943,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Stoderzinken,-2.794,0.338,-3.456,-2.132,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_WSL,-2.635,0.422,-3.461,-1.809,Hurdle_cond,1,DIST
taxon_site,Intercept,Trifolium_pratense_Wytham Woods,-2.394,0.228,-2.842,-1.946,Hurdle_cond,1,DIST
taxon_site,Intercept,Verbascum_thapsus_Blandy Experimental Farm,-1.954,0.511,-2.956,-0.952,Hurdle_cond,1,DIST
taxon_site,Intercept,Verbascum_thapsus_Cedar Creek LTER,-2.042,0.392,-2.811,-1.273,Hurdle_cond,1,DIST
