Taxon,Lat,Lon,Continent,MatrixID,Country,Ecoregion,DOI_ISBN
Stenaria_nigricans,38.133333,-99.05,N America,243502,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243503,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243504,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243505,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243506,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243507,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243508,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243509,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243510,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243511,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243512,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243513,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243514,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243515,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243516,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243517,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243518,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243519,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243520,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243521,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243522,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243523,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Stenaria_nigricans,38.133333,-99.05,N America,243524,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Linum_catharticum,50.850278,5.913333,Europe,244159,NLD,TBM,10.1111/j.1469-8137.1984.tb04155.x
Picris_hieracioides,NA,NA,N America,244660,USA,TBM,10.2307/2259775
Pimpinella_saxifraga,61.066667,7.666667,Europe,244677,NOR,TUN,10.1016/j.biocon.2009.12.037
Pimpinella_saxifraga,61.066667,7.666667,Europe,244678,NOR,TUN,10.1016/j.biocon.2009.12.037
Pimpinella_saxifraga,61.066667,7.666667,Europe,244679,NOR,TUN,10.1016/j.biocon.2009.12.037
Plantago_coronopus,50.782222,0.070556,Europe,244776,GBR,TBM,10.2307/2259533
Plantago_coronopus,50.782222,0.070556,Europe,244777,GBR,TBM,10.2307/2259533
Plantago_coronopus,50.782222,0.070556,Europe,244778,GBR,TBM,10.2307/2259533
Plantago_coronopus,36.014167,-5.604444,Europe,244780,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.014167,-5.604444,Europe,244781,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.014167,-5.604444,Europe,244782,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.014167,-5.604444,Europe,244783,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.443611,-6.223056,Europe,244784,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.443611,-6.223056,Europe,244785,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,36.443611,-6.223056,Europe,244787,ESP,MED,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,42.573333,-9.0725,Europe,244788,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,42.573333,-9.0725,Europe,244789,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,42.573333,-9.0725,Europe,244790,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,42.573333,-9.0725,Europe,244791,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,43.183333,-9.05,Europe,244792,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,43.183333,-9.05,Europe,244793,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,43.183333,-9.05,Europe,244794,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,43.183333,-9.05,Europe,244795,ESP,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.141111,10.011944,Europe,244796,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.141111,10.011944,Europe,244797,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.141111,10.011944,Europe,244798,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.141111,10.011944,Europe,244799,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.505278,8.257778,Europe,244800,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,55.505278,8.257778,Europe,244801,DNK,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.931944,12.366944,Europe,244804,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.931944,12.366944,Europe,244805,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.931944,12.366944,Europe,244806,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.423611,12.627222,Europe,244808,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.423611,12.627222,Europe,244809,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.423611,12.627222,Europe,244810,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,56.423611,12.627222,Europe,244811,SWE,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.149722,-2.094167,Europe,244812,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.149722,-2.094167,Europe,244813,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.149722,-2.094167,Europe,244814,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.149722,-2.094167,Europe,244815,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.535833,-6.226111,Europe,244816,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.535833,-6.226111,Europe,244817,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.535833,-6.226111,Europe,244818,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,57.535833,-6.226111,Europe,244819,GBR,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,47.305556,-2.51,Europe,244820,FRA,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,47.305556,-2.51,Europe,244821,FRA,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_coronopus,47.305556,-2.51,Europe,244822,FRA,TBM,10.1111/j.1600-0587.2012.07425.x
Plantago_media,NA,NA,Europe,244824,SWE,FGS,10.2307/3236803
Plantago_media,NA,NA,Europe,244825,SWE,FGS,10.2307/3236803
Plantago_media,NA,NA,Europe,244827,SWE,FGS,10.2307/3236803
Plantago_media,NA,NA,Europe,244828,SWE,FGS,10.2307/3236803
Plantago_media,NA,NA,Europe,244829,SWE,FGS,10.2307/3236803
Plantago_media,NA,NA,Europe,244830,SWE,FGS,10.2307/3236803
Poa_alpina,46.816667,11.033333,Europe,244841,AUT,TCF,10.1093/aob/mcp047
Poa_alpina,46.816667,11.033333,Europe,244842,AUT,TCF,10.1093/aob/mcp047
Potentilla_recta,48.947222,-115.075,N America,244927,USA,TBM,10.1614/IPSM-08-135.1
Primula_elatior,NA,NA,Europe,244931,BEL,TBM,10.1890/07-1908.1
Primula_elatior,50.85,4.883333,Europe,244932,BEL,TBM,10.1890/07-1908.1
Primula_elatior,50.85,4.883333,Europe,244952,BEL,TBM,10.1890/07-1908.1
Primula_veris,NA,NA,Europe,245031,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245033,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245040,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245043,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245044,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245046,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Primula_veris,NA,NA,Europe,245047,FIN,TBM,10.1111/j.1523-1739.2006.00368.x
Ranunculus_acris,53.237222,-4.023611,Europe,245364,GBR,TBM,10.2307/2258643
Ranunculus_acris,53.237222,-4.023611,Europe,245365,GBR,TBM,10.2307/2258643
Ratibida_columnifera,38.8,-99.2,N America,245376,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245377,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245378,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245379,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245380,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245381,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245382,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245383,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245384,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245385,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245386,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245387,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245388,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245389,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245390,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245391,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245392,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245393,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245394,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245395,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245396,USA,TGS,10.1111/j.1365-2745.2009.01585.x
Ratibida_columnifera,38.8,-99.2,N America,245397,USA,TGS,10.1111/j.1365-2745.2009.01585.x
