site_name,New_taxon,local_provenance,new_provenance
WSL,Rumex_obtusifolius,NAT,NAT
WSL,Tragopogon_pratensis,NAT,NAT
WSL,Achillea_millefolium,NAT,NAT
WSL,Anthoxanthum_odoratum,NAT,NAT
WSL,Knautia_arvensis,NAT,NAT
WSL,Ranunculus_repens,NAT,NAT
WSL,Centaurea_jacea,NAT,NAT
Wallula Gap Biological Station-North Face,Achillea_millefolium,NAT,NAT
Wallula Gap Biological Station-North Face,Bromus_tectorum,INT,INT
Wallula Gap Biological Station-North Face,Lactuca_serriola,INT,INT
Wallula Gap Biological Station-North Face,Tragopogon_dubius,INT,INT
Wallula Gap Biological Station-South Face,Bromus_tectorum,INT,INT
Wallula Gap Biological Station-South Face,Tragopogon_dubius,INT,INT
Wallula Gap Biological Station-South Face,Achillea_millefolium,NAT,NAT
Wytham Woods,Tragopogon_pratensis,NAT,NAT
Wytham Woods,Ranunculus_acris,NAT,NAT
Wytham Woods,Agrimonia_eupatoria,NAT,NAT
Wytham Woods,Lotus_corniculatus,NAT,NAT
Wytham Woods,Trifolium_pratense,NAT,NAT
Wytham Woods,Cerastium_fontanum,NAT,NAT
Wytham Woods,Ranunculus_repens,NAT,NAT
Wytham Woods,Rosa_canina,NAT,NAT
Wytham Woods,Primula_veris,NAT,NAT
Wytham Woods,Linum_catharticum,NAT,NAT
Wytham Woods,Ranunculus_bulbosus,NA,NAT
Wytham Woods,Knautia_arvensis,NAT,NAT
Wytham Woods,Rhinanthus_minor,NAT,NAT
Wytham Woods,Cirsium_vulgare,NAT,NAT
Wytham Woods,Cirsium_arvense,NAT,NAT
Wytham Woods,Elymus_repens,NAT,NAT
Wytham Woods,Arenaria_serpyllifolia,NAT,NAT
Wytham Woods,Hypochaeris_radicata,NAT,NAT
Wytham Woods,Myosotis_ramosissima,NAT,NAT
