AccSpeciesName,LA_mean,LDMC_mean,SLA_mean,percent_c,percent_s,percent_r,C : S : R ,Strategy class,S (%),C (%),R (%),Red,Green,Blue,Colour values in SigmaPlot 
Physalis virginiana,384.6228867,20.544256999999998,19.25677866,22.59753881,30.86298772,46.53947346,23 : 31 : 47 %,R/CSR,30.86298772,22.59753881,46.53947346,58,79,119,"@rgb(58,79,119)"
Phyteuma orbiculare,1180.36,21.0345148,30.0379799,29.07105198,21.93363476,48.99531327,29 : 22 : 49 %,R/CSR,21.93363476,29.07105198,48.99531327,74,56,125,"@rgb(74,56,125)"
Picris hieracioides,1872.469421,17.801122409173367,28.95905734,41.22801886,7.174464337,51.5975168,41 : 7 : 52 %,CR,7.174464337,41.22801886,51.5975168,105,18,132,"@rgb(105,18,132)"
Pilosella aurantiaca,906.7063636,16.207666013183886,29.49396826,34.03016955,0,65.96983045,34 : 0 : 66 %,R/CR,0,34.03016955,65.96983045,87,0,168,"@rgb(87,0,168)"
Pilosella officinarum,389.6476108,21.454419422016613,13.61450832,27.53615299,44.76869917,27.69514784,28 : 45 : 28 %,S/CSR,44.76869917,27.53615299,27.69514784,70,114,71,"@rgb(70,114,71)"
Pimpinella saxifraga,1254.206934,23.29131644058816,19.07162073,33.17984582,34.43526026,32.38489392,33 : 34 : 32 %,CSR,34.43526026,33.17984582,32.38489392,85,88,83,"@rgb(85,88,83)"
Pinus palustris,312.4,26,3.457014911,7.558587363,92.44141264,0,8 : 92 : 0 %,S,92.44141264,7.558587363,0,19,236,0,"@rgb(19,236,0)"
Pityopsis graminifolia,993.4,31.13909292107193,13.41443647,26.73154376,58.97846538,14.28999086,27 : 59 : 14 %,S/CSR,58.97846538,26.73154376,14.28999086,68,150,36,"@rgb(68,150,36)"
Plantago afra,138.4514286,32.79,17.40622469,7.074174598,66.13314995,26.79267545,7 : 66 : 27 %,S/SR,66.13314995,7.074174598,26.79267545,18,169,68,"@rgb(18,169,68)"
Plantago albicans,87.74586076,27.080385008143836,11.0962271,7.874470733,81.79117575,10.33435352,8 : 82 : 10 %,S,81.79117575,7.874470733,10.33435352,20,209,26,"@rgb(20,209,26)"
Plantago coronopus,402.5,11.129275,17.77720062,36.16495464,0,63.83504536,36 : 0 : 64 %,R/CR,0,36.16495464,63.83504536,92,0,163,"@rgb(92,0,163)"
